gene_id	Adult_Brain	Adult_Head	Adult_Midgut	Adult_Hindgut	Adult_FatBody	Adult_MalpighianTubule	Adult_Carcass	Adult_Ovary	Adult_Testis	Larval_Hindgut	Larval_FatBody	Larval_MalpighianTubule	Larval_Midgut	Larval_Carcass	max_expr	mean_expr	median_expr
TC000021	2.7017558935177033	3.6850339990291756	0.967862124124324	1.3037823713679129	1.3579828355874635	3.3971672307914926	1.6171747249684825			1.8396979532695341	0.9060110044454767		1.0148229388143637	0.8795500421344866	3.6850339990291756	1.7882582834591287	1.3579828355874635
TC000029	7.7553807842905975	4.08209847998189	2.541866609372394	3.2741139009394105	2.2469366171960417	4.303501820353728	2.3623878858888316			2.722602561425298	1.5597064087241768		2.790061892807296	1.4697874879727109	7.7553807842905975	3.19167676808658	2.722602561425298
TC000040	5.700387329651659	5.076863364580684	2.3846683589342184	4.3652825438776315	3.4640632862431504	3.7017733486967264	4.061417452034843			3.9879903492006084	2.661479298063022		2.5733971092927823	3.2590275991402646	5.700387329651659	3.7487590945195994	3.7017733486967264
TC000043	6.182900570411055	5.704175311473915	6.553012417207962	5.824578790579364	5.256645425231322	5.522557486873809	6.753260746868064			5.996152630387147	6.360277292185743		5.5845218368063865	6.480557617384004	6.753260746868064	6.019876375037162	5.996152630387147
TC000047	4.104239391848451	4.9197084075984066	4.428999398667327	4.3652825438776315	4.906027021601868	5.069384468529172	3.8398182492015853			3.900114519356731	3.8428838293169005		3.3255982072325394	3.203331788452254	5.069384468529172	4.1732170750620785	4.104239391848451
TC000049	3.313727503115963	3.515449474468387	0.7605898188239252	1.541533636400537	1.6738225981886323	2.665538846396523	1.1767444707428072			1.8396979532695341	0.6684684804497073		0.9388490744892629	0.7551130755129656	3.515449474468387	1.7135940847143858	1.541533636400537
TC000054	5.339865115704219	4.586152418402407	3.30242882482045	4.937323922831106	4.321103575446095	6.055823963970244	3.8259406743215516			5.025690291888908	4.742093108357499		3.612066380324546	3.5404696315451933	6.055823963970244	4.480814355237475	4.586152418402407
TC000056	6.29078552393093	6.62621650717987	5.433318243516132	5.64201366568091	7.903125523506447	6.6346104922105225	5.842446540570778			6.139674450122156	6.497594108275028		5.650516566849638	5.304268378576603	7.903125523506447	6.178597272765365	6.139674450122156
TC000065	2.2626380366070715	3.1416704076686544	2.3846683589342184	2.607764279322179	2.1908644380109505	3.3449576132599836	1.2888048944466262			2.1822595333366483	1.4978469844939823		2.266979081086089	1.3940399282117595	3.3449576132599836	2.232953959579833	2.2626380366070715
TC000069	4.651502986147105	4.6249810547970345	4.4791447431484865	4.07585239619676	4.425134686415621	4.61826115537266	4.0277290557918155			4.213033070458913	3.3190796998344596		3.8831321217749624	3.59031188845149	4.651502986147105	4.173469350762665	4.213033070458913
