gene_id	Adult_Brain	Adult_Head	Adult_Midgut	Adult_Hindgut	Adult_FatBody	Adult_MalpighianTubule	Adult_Carcass	Adult_Ovary	Adult_Testis	Larval_Hindgut	Larval_FatBody	Larval_MalpighianTubule	Larval_Midgut	Larval_Carcass	max_expr	mean_expr	median_expr
BMSK0000005		0.0	0.0		0.03583657436897573	0.0	0.0	0.0	0.11749710412962613		0.30283292047835836	0.07803094803220158	0.0	0.0	0.30283292047835836	0.04856341336446925	0.0
BMSK0000010		0.0	0.663935394298493		0.0	1.593944851827904	0.5275871247709946	4.771325618877484	0.0		0.4912600946148793	0.0	0.0	0.0	4.771325618877484	0.7316411894899777	0.0
BMSK0000011		1.9195118935914828	0.4165384071935611		0.0	1.8515995210814378	0.0	4.161219941315375	0.0		0.48422035008873754	2.172497330841749	0.1536784169988778	0.0	4.161219941315375	1.0144787146464744	0.4165384071935611
BMSK0000013		2.5115477937572237	0.5710063706274591		0.6812302737543314	2.2965093358736133	3.01091244162653	2.2455305518709303	0.20946168887735583		2.526224363623458	0.18457819981874687	0.2166053160021133	2.450233763027367	3.01091244162653	1.5367127362599207	2.2455305518709303
BMSK0000014		2.6854280583291135	0.13045224806796266		0.0	0.6233407223821168	0.0	0.0	0.3913224216648962		0.0	0.4988799992565261	0.0	0.0	2.6854280583291135	0.39358394997278323	0.0
BMSK0000015		2.508809034734845	0.26895081229994605		0.0	0.8218593423154702	0.0	0.0	0.11152212875154313		0.0	0.6165419752248736	0.0	0.0	2.508809034734845	0.3934257539387889	0.0
BMSK0000017		1.8712780642013616	0.0		0.0	0.0	0.0	0.0	0.15442676692366464		0.0	0.0	0.0	0.0	1.8712780642013616	0.18415498464772967	0.0
BMSK0000018		5.425272973052894	0.5976741540054074		2.2621691291510615	0.8972676880662181	2.4717873339215326	2.786154182225432	2.5415657948496877		3.124923267087559	0.18641708116166314	0.1650784535082746	0.23322227807672474	5.425272973052894	1.881048394100587	2.2621691291510615
BMSK0000019		4.760405670048291	0.8917316244886735		3.9132895236720313	2.3386394004897415	1.9402285131039267	3.2270197016043243	1.9107927997265346		4.358505304544984	2.241022850030203	0.11836224998529855	0.08038034381674128	4.760405670048291	2.3436707255918865	2.241022850030203
BMSK0000020		0.1910811172100944	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.1910811172100944	0.017371010655463127	0.0
BMSK0000022		2.379440886491315	0.7939227934552011		1.4178825363516196	2.40433098628061	2.932057138561627	2.763414512447291	7.839263535973929		3.8631901620272124	1.1725760031462797	0.03813292102949219	0.05515078079044585	7.839263535973929	2.3326692960504567	2.379440886491315
BMSK0000023		1.1423586498389569	0.0		0.0	0.25941030415864313	0.24338793072214443	1.1242584746952315	6.288057339061867		2.117394657942004	0.4651672398718997	0.0	0.0	6.288057339061867	1.0581849632991587	0.25941030415864313
BMSK0000028		0.007071994317884555	0.0		0.268198885225071	0.22500925428814408	0.15931639526115332	0.08605798195388023	5.952951934511005		1.4565359308444916	0.15787565367498654	0.0	0.0	5.952951934511005	0.7557289118251469	0.15787565367498654
BMSK0000029		0.0	0.042116906074282326		0.06432819371447913	0.0	0.0	0.05998871470689775	6.109919900460566		1.7984361076790751	0.16534740759896557	0.0	0.0	6.109919900460566	0.7491033845667513	0.042116906074282326
BMSK0000030		2.938634434758281	1.4195735821185143		3.640243135206438	0.715713982726709	0.7244901980124396	1.912446476852248	4.876196375092505		4.872716087719734	0.1301907152660251	0.0	0.0	4.876196375092505	1.9300186352502633	1.4195735821185143
BMSK0000031		0.5715483262354463	0.0		0.5471347966044796	0.0	0.16541419239975577	1.5622400887533288	0.3094933181017549		0.07969216928078623	0.0	0.026613590714438022	2.5060127419700766	2.5060127419700766	0.5243772021872788	0.16541419239975577
BMSK0000032		0.12158477154479215	0.0		0.19068752340095796	0.0	0.0	1.0838598242996773	0.2645866473600477		0.33727553580845515	0.0	0.0	2.484694235500289	2.484694235500289	0.40751713981038357	0.12158477154479215
BMSK0000034		0.4778240345867072	0.003275617975685377		0.07204864554737044	0.1184826036038267	0.08994824066339749	0.3031280836929346	0.018177879725583913		0.34145922180354865	0.023705426965422972	0.005810675401852782	0.03539281256438517	0.4778240345867072	0.1353866584118832	0.07204864554737044
BMSK0000035		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMSK0000037		0.0	0.3197917193191492		0.0	0.0	0.0	0.0	6.957201577375743		2.9364419466676774	0.0	0.0	0.0	6.957201577375743	0.9284941130329609	0.0
BMSK0000038		0.0	0.0		0.0	0.0	0.0	0.0	5.315289955077265		1.1713730697901683	0.11949966391760271	0.0	0.0	5.315289955077265	0.6005602444350033	0.0
BMSK0000039		0.0	0.0		0.0	0.0	0.0	0.0	0.7207040583740163		0.0	0.0	0.0	0.0	0.7207040583740163	0.0655185507612742	0.0
