name,elapsed,overall_pearson,overall_spearman,overall_rmse,key_tissue_pearson,key_tissue_ndcg50
ElasticNet (RNA+ESM),118.24714541435242,0.4788357,0.5058421633751692,1.533540375179574,0.48724905,0.4184426959858048
RF (RNA+ESM),809.2813081741333,0.5505457,0.5602582658474945,1.4610499374450732,0.561415,0.7749065167158194
XGBoost (RNA+ESM),915.1917536258698,0.57546026,0.5844434392315334,1.4287166112968337,0.58356816,0.7770295464669259
MLP-RNA (RNA only),188.28346848487854,0.4316322,0.4628393160962257,1.5772575789441983,0.4154553,0.5137330907771197
MLP (RNA+ESM),184.63116240501404,0.5783834,0.5872930971556848,1.4307104734632943,0.5938029,0.7684547048205818
