SRR_Accession,Species,Species_ID,Mapped_Tissue
SRR17955951,Anoplophora glabripennis,Agla,Adult_FatBody
SRR17955952,Anoplophora glabripennis,Agla,Adult_Brain
SRR17955953,Anoplophora glabripennis,Agla,Adult_FatBody
SRR17955954,Anoplophora glabripennis,Agla,Adult_Brain
SRR17955955,Anoplophora glabripennis,Agla,Adult_FatBody
SRR17955956,Anoplophora glabripennis,Agla,Adult_Brain
SRR17955957,Anoplophora glabripennis,Agla,Adult_FatBody
SRR17955958,Anoplophora glabripennis,Agla,Adult_Brain
SRR17955959,Anoplophora glabripennis,Agla,Adult_FatBody
SRR17955960,Anoplophora glabripennis,Agla,Adult_Brain
SRR17955961,Anoplophora glabripennis,Agla,Adult_FatBody
SRR17955962,Anoplophora glabripennis,Agla,Adult_Brain
SRR17955963,Anoplophora glabripennis,Agla,Adult_FatBody
SRR36516248,Anoplophora glabripennis,Agla,Adult_Midgut
SRR36516249,Anoplophora glabripennis,Agla,Adult_Midgut
SRR36516250,Anoplophora glabripennis,Agla,Adult_Midgut
SRR36516251,Anoplophora glabripennis,Agla,Adult_Midgut
SRR36516252,Anoplophora glabripennis,Agla,Adult_Midgut
SRR36516253,Anoplophora glabripennis,Agla,Adult_Midgut
SRR36516254,Anoplophora glabripennis,Agla,Adult_Midgut
SRR36516255,Anoplophora glabripennis,Agla,Adult_Midgut
SRR827514,Anoplophora glabripennis,Agla,Adult_Midgut
SRR988299,Anoplophora glabripennis,Agla,Adult_Midgut
SRR14029849,Leptinotarsa decemlineata,Ldec,Adult_Head
SRR14029850,Leptinotarsa decemlineata,Ldec,Adult_Head
SRR14029851,Leptinotarsa decemlineata,Ldec,Adult_Head
SRR14029852,Leptinotarsa decemlineata,Ldec,Adult_Head
SRR14029853,Leptinotarsa decemlineata,Ldec,Adult_Head
SRR14029854,Leptinotarsa decemlineata,Ldec,Adult_Head
SRR14286861,Leptinotarsa decemlineata,Ldec,Adult_Carcass
SRR14286862,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR14286863,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR14286864,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR14286867,Leptinotarsa decemlineata,Ldec,Adult_Carcass
SRR14286868,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR14286869,Leptinotarsa decemlineata,Ldec,Adult_Carcass
SRR14286870,Leptinotarsa decemlineata,Ldec,Adult_Carcass
SRR14286872,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR27675951,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR27675952,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR27675953,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR27675955,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR27675956,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR27675957,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR27675958,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR27675959,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR27675960,Leptinotarsa decemlineata,Ldec,Adult_Testis
SRR27675961,Leptinotarsa decemlineata,Ldec,Adult_Testis
SRR27675962,Leptinotarsa decemlineata,Ldec,Adult_Testis
SRR27675963,Leptinotarsa decemlineata,Ldec,Adult_Ovary
SRR27675964,Leptinotarsa decemlineata,Ldec,Adult_Ovary
SRR27675965,Leptinotarsa decemlineata,Ldec,Adult_Ovary
SRR27676001,Leptinotarsa decemlineata,Ldec,Larval_Hindgut
SRR27676002,Leptinotarsa decemlineata,Ldec,Larval_Hindgut
SRR27676003,Leptinotarsa decemlineata,Ldec,Adult_Hindgut
SRR27676004,Leptinotarsa decemlineata,Ldec,Adult_Hindgut
SRR27676005,Leptinotarsa decemlineata,Ldec,Adult_Hindgut
SRR27676009,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR27676010,Leptinotarsa decemlineata,Ldec,Adult_FatBody
SRR13493647,Nilaparvata lugens,Nlug,Adult_Brain
SRR13493648,Nilaparvata lugens,Nlug,Adult_Brain
SRR13493649,Nilaparvata lugens,Nlug,Adult_Brain
SRR13493650,Nilaparvata lugens,Nlug,Adult_Ovary
SRR13493651,Nilaparvata lugens,Nlug,Adult_Ovary
SRR13493652,Nilaparvata lugens,Nlug,Adult_Brain
SRR13493653,Nilaparvata lugens,Nlug,Adult_Ovary
SRR13493654,Nilaparvata lugens,Nlug,Adult_Ovary
SRR13493655,Nilaparvata lugens,Nlug,Adult_Ovary
SRR13493656,Nilaparvata lugens,Nlug,Adult_Ovary
SRR13493657,Nilaparvata lugens,Nlug,Adult_Ovary
SRR13493658,Nilaparvata lugens,Nlug,Adult_Ovary
SRR13493659,Nilaparvata lugens,Nlug,Adult_Ovary
SRR13493660,Nilaparvata lugens,Nlug,Adult_Brain
SRR13493661,Nilaparvata lugens,Nlug,Adult_Brain
SRR13493662,Nilaparvata lugens,Nlug,Adult_Brain
SRR13493663,Nilaparvata lugens,Nlug,Adult_Brain
SRR13493664,Nilaparvata lugens,Nlug,Adult_Brain
SRR27356134,Nilaparvata lugens,Nlug,Adult_FatBody
SRR27356135,Nilaparvata lugens,Nlug,Adult_FatBody
SRR27356136,Nilaparvata lugens,Nlug,Adult_FatBody
SRR27356137,Nilaparvata lugens,Nlug,Adult_FatBody
SRR27356138,Nilaparvata lugens,Nlug,Adult_FatBody
SRR27356139,Nilaparvata lugens,Nlug,Adult_FatBody
SRR27356140,Nilaparvata lugens,Nlug,Adult_FatBody
SRR27356141,Nilaparvata lugens,Nlug,Adult_FatBody
SRR27356142,Nilaparvata lugens,Nlug,Adult_FatBody
SRR14715621,Frankliniella occidentalis,Focc,Adult_Carcass
SRR14715622,Frankliniella occidentalis,Focc,Adult_Carcass
SRR14715623,Frankliniella occidentalis,Focc,Adult_Carcass
SRR15207603,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207604,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207609,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207614,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207615,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207616,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207617,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207618,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207623,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207624,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207625,Frankliniella occidentalis,Focc,Larval_Midgut
SRR15207626,Frankliniella occidentalis,Focc,Larval_Midgut
SRR1821972,Frankliniella occidentalis,Focc,Adult_Carcass
SRR1826954,Frankliniella occidentalis,Focc,Adult_Carcass
SRR1826955,Frankliniella occidentalis,Focc,Larval_Carcass
SRR1826956,Frankliniella occidentalis,Focc,Adult_Carcass
SRR19795995,Frankliniella occidentalis,Focc,Adult_Carcass
SRR19795997,Frankliniella occidentalis,Focc,Adult_Carcass
SRR21518398,Frankliniella occidentalis,Focc,Adult_Head
SRR21518399,Frankliniella occidentalis,Focc,Adult_Head
SRR21518400,Frankliniella occidentalis,Focc,Adult_Head
SRR21518401,Frankliniella occidentalis,Focc,Adult_Head
SRR21518403,Frankliniella occidentalis,Focc,Adult_Head
SRR21518404,Frankliniella occidentalis,Focc,Adult_Head
SRR18183474,Ostrinia furnacalis,Ofur,Larval_FatBody
SRR18183476,Ostrinia furnacalis,Ofur,Larval_FatBody
SRR18183480,Ostrinia furnacalis,Ofur,Larval_FatBody
SRR18183481,Ostrinia furnacalis,Ofur,Larval_FatBody
SRR18183482,Ostrinia furnacalis,Ofur,Larval_FatBody
SRR18183493,Ostrinia furnacalis,Ofur,Larval_Carcass
SRR18183494,Ostrinia furnacalis,Ofur,Larval_Carcass
SRR18464803,Ostrinia furnacalis,Ofur,Adult_Brain
SRR18464804,Ostrinia furnacalis,Ofur,Adult_Brain
SRR18464805,Ostrinia furnacalis,Ofur,Adult_Brain
SRR18464807,Ostrinia furnacalis,Ofur,Adult_Brain
SRR18464808,Ostrinia furnacalis,Ofur,Adult_Brain
DRR783446,Chilo suppressalis,Csup,Adult_Carcass
DRR783447,Chilo suppressalis,Csup,Adult_Carcass
DRR783448,Chilo suppressalis,Csup,Adult_Carcass
DRR783449,Chilo suppressalis,Csup,Adult_Carcass
DRR783450,Chilo suppressalis,Csup,Adult_Carcass
DRR783451,Chilo suppressalis,Csup,Adult_Carcass
SRR1200447,Chilo suppressalis,Csup,Adult_Head
SRR1200448,Chilo suppressalis,Csup,Adult_Head
SRR12170219,Chilo suppressalis,Csup,Adult_Midgut
SRR449559,Chilo suppressalis,Csup,Larval_Midgut
SRR5186265,Chilo suppressalis,Csup,Adult_Midgut
SRR5186267,Chilo suppressalis,Csup,Adult_Midgut
SRR5186268,Chilo suppressalis,Csup,Adult_Midgut
SRR5186269,Chilo suppressalis,Csup,Adult_Midgut
SRR5186270,Chilo suppressalis,Csup,Adult_Midgut
SRR5186291,Chilo suppressalis,Csup,Adult_Midgut
SRR5265146,Chilo suppressalis,Csup,Adult_Carcass
SRR5265151,Chilo suppressalis,Csup,Adult_Carcass
SRR5265152,Chilo suppressalis,Csup,Adult_Carcass
SRR5265153,Chilo suppressalis,Csup,Adult_Carcass
SRR5265154,Chilo suppressalis,Csup,Adult_Carcass
SRR5265340,Chilo suppressalis,Csup,Adult_Carcass
SRR651040,Chilo suppressalis,Csup,Adult_FatBody
