name,best_epoch,overall_pearson,overall_spearman,overall_rmse,overall_r2,key_tissue_pearson
Xpresso,30,0.38947213,0.43465346556213785,1.6772396259655136,0.07787001132965088,0.3868615
Vanilla_Enformer,114,0.56624794,0.5766643305725766,1.452141541783392,0.30877435207366943,0.5760187
