gene_id,species,gene_key,mean_expr,max_expr,tau,mae,n_valid_tissues,top_tissue
LOC108909601,agla,agla|LOC108909601,2.3937199999999996,6.811,0.810688591983556,2.4147800000000004,5,Adult_Midgut
LOC108909607,agla,agla|LOC108909607,0.9410000000000001,1.9562,0.6487066762089766,0.4344199999999999,5,Adult_Brain
LOC108909620,agla,agla|LOC108909620,3.97534,6.1757,0.4453665171559499,1.17682,5,Adult_MalpighianTubule
LOC108909623,agla,agla|LOC108909623,0.04852000000000001,0.0886,0.5654627539503385,2.1369599999999997,5,Adult_Brain
LOC108909625,agla,agla|LOC108909625,2.63426,2.9126,0.11945512600425731,0.37955999999999984,5,Adult_Midgut
LOC108909632,agla,agla|LOC108909632,1.93174,3.3508,0.5293735824280769,0.85564,5,Adult_Hindgut
LOC108909643,agla,agla|LOC108909643,0.42750000000000005,1.0886,0.7591172147712658,0.57206,5,Adult_Hindgut
LOC108909645,agla,agla|LOC108909645,0.33819999999999995,0.6575,0.6070342205323194,1.6673200000000001,5,Adult_Brain
LOC108909660,agla,agla|LOC108909660,2.3036000000000003,3.5926,0.4484913433168179,0.60422,5,Adult_Brain
LOC108909663,agla,agla|LOC108909663,2.10736,2.9026,0.3424688210569834,0.4964999999999999,5,Adult_Brain
LOC108909667,agla,agla|LOC108909667,1.054,3.2353,0.8427734676846043,1.9023200000000002,5,Adult_Midgut
LOC108909670,agla,agla|LOC108909670,1.42228,5.0756,0.8997261407518323,1.3820799999999998,5,Adult_MalpighianTubule
LOC108909672,agla,agla|LOC108909672,0.7250399999999999,2.6085,0.902558941920644,1.7743000000000002,5,Adult_Hindgut
LOC108909676,agla,agla|LOC108909676,0.53594,2.6285,0.995130302453871,1.20654,5,Adult_Midgut
LOC108909680,agla,agla|LOC108909680,0.19852,0.3084,0.4453631647211414,1.1974999999999998,5,Adult_Brain
LOC108909689,agla,agla|LOC108909689,3.55952,4.372,0.23229643183897525,0.73004,5,Adult_Brain
LOC108909702,agla,agla|LOC108909702,1.018,1.3547,0.31067764080608257,1.4249399999999999,5,Adult_Brain
LOC108909703,agla,agla|LOC108909703,2.25778,3.7855,0.5044644036454894,1.09282,5,Adult_Hindgut
LOC108909705,agla,agla|LOC108909705,4.6381000000000006,5.0179,0.09461129157615736,1.2598799999999999,5,Adult_MalpighianTubule
LOC108909709,agla,agla|LOC108909709,2.07878,4.7843,0.7068745689024517,1.4671800000000002,5,Adult_Midgut
LOC108909718,agla,agla|LOC108909718,2.21424,5.7062,0.7649486523430654,1.82106,5,Adult_MalpighianTubule
LOC108909724,agla,agla|LOC108909724,3.44032,4.0717,0.19383181472112382,0.38262,5,Adult_Brain
LOC108909725,agla,agla|LOC108909725,3.14182,3.5763,0.15186086178452587,1.5791199999999999,5,Adult_Hindgut
LOC108909730,agla,agla|LOC108909730,0.30119999999999997,1.2832,0.9565928927680798,0.9760599999999998,5,Adult_Hindgut
LOC108909731,agla,agla|LOC108909731,4.56342,5.0899,0.1292952710269357,1.9589400000000001,5,Adult_Brain
LOC108909741,agla,agla|LOC108909741,0.13269999999999998,0.3508,0.7771522234891677,0.8736200000000001,5,Adult_Brain
LOC108909749,agla,agla|LOC108909749,3.13772,3.4069,0.09876280489594641,1.0861399999999999,5,Adult_Brain
LOC108909759,agla,agla|LOC108909759,2.67488,2.9543,0.11822597569644241,0.62548,5,Adult_Brain
LOC108909760,agla,agla|LOC108909760,2.2013,2.583,0.18471738288811465,0.5167599999999999,5,Adult_MalpighianTubule
LOC108909761,agla,agla|LOC108909761,1.85928,2.1881,0.1878456194872263,0.06030000000000011,5,Adult_Brain
LOC108909765,agla,agla|LOC108909765,2.66726,3.316,0.24454915560916765,0.5861,5,Adult_Brain
LOC108909766,agla,agla|LOC108909766,0.01012,0.019,0.5842105263157895,1.90448,5,Adult_Midgut
LOC108909770,agla,agla|LOC108909770,3.15094,3.6048,0.15738043719485137,0.20582000000000011,5,Adult_Midgut
LOC108909806,agla,agla|LOC108909806,0.1452,0.2829,0.6084305408271473,1.1702599999999999,5,Adult_Brain
LOC108909811,agla,agla|LOC108909811,0.44064,0.8335,0.5891721655668867,0.5434999999999999,5,Adult_Brain
LOC108909812,agla,agla|LOC108909812,0.2918,0.4309,0.40351589695985146,0.6025599999999999,5,Adult_MalpighianTubule
LOC108909815,agla,agla|LOC108909815,1.4587800000000004,7.0551,0.9915380363141557,1.37966,5,Adult_Midgut
LOC108909817,agla,agla|LOC108909817,0.27896,0.5807,0.6495178233166867,0.9157,5,Adult_Brain
LOC108909823,agla,agla|LOC108909823,2.1385,6.7156,0.8519529155994997,0.9419000000000001,5,Adult_Midgut
LOC108909837,agla,agla|LOC108909837,1.5588799999999998,2.7715,0.5469150279631968,0.8223600000000001,5,Adult_MalpighianTubule
LOC108909838,agla,agla|LOC108909838,4.15022,4.4817,0.09245375638708528,0.8574999999999999,5,Adult_MalpighianTubule
LOC108909841,agla,agla|LOC108909841,2.3739,4.6437,0.6109890819820402,0.82728,5,Adult_Hindgut
LOC108909845,agla,agla|LOC108909845,3.28112,3.7688,0.16174909785608152,1.5047400000000002,5,Adult_Brain
LOC108909846,agla,agla|LOC108909846,3.78732,7.6293,0.6294778026817662,1.9809999999999999,5,Adult_FatBody
LOC108909847,agla,agla|LOC108909847,1.9599999999999997,2.3489,0.20695857635488954,0.32066,5,Adult_Brain
LOC108909850,agla,agla|LOC108909850,2.4858400000000005,2.9638,0.2015824279641001,0.7453,5,Adult_MalpighianTubule
LOC108909852,agla,agla|LOC108909852,0.89786,1.8189,0.6329649788333608,0.75832,5,Adult_Midgut
LOC108909857,agla,agla|LOC108909857,0.8647599999999999,2.0662,0.7268415448649695,1.29922,5,Adult_Brain
LOC108909858,agla,agla|LOC108909858,4.9222,5.3971,0.10998962405736412,0.9044399999999999,5,Adult_Brain
LOC108909860,agla,agla|LOC108909860,0.10814000000000001,0.4048,0.9160696640316206,2.20562,5,Adult_Midgut
LOC108909875,agla,agla|LOC108909875,0.46690000000000004,1.9184,0.9457751251042537,1.1590399999999998,5,Adult_Brain
LOC108909885,agla,agla|LOC108909885,3.4882199999999997,4.9585,0.370646364828073,0.7525200000000002,5,Adult_Brain
LOC108909886,agla,agla|LOC108909886,2.6352400000000005,3.1834,0.21524156562166236,0.7434999999999999,5,Adult_MalpighianTubule
LOC108909891,agla,agla|LOC108909891,3.2829,3.8102,0.1729896068447851,0.61428,5,Adult_Brain
LOC108909899,agla,agla|LOC108909899,3.10892,3.8182,0.23220365617306588,0.30854,5,Adult_Brain
LOC108909903,agla,agla|LOC108909903,0.45999999999999996,1.9678,0.957795507673544,0.48602,5,Adult_Brain
LOC108909910,agla,agla|LOC108909910,0.77466,0.8426,0.10078922383099931,0.11389999999999997,5,Adult_Brain
LOC108909912,agla,agla|LOC108909912,0.38572,0.5918,0.43528218992903006,0.8706999999999999,5,Adult_Brain
LOC108909924,agla,agla|LOC108909924,0.18862,0.9382,0.9986943082498401,1.0795000000000001,5,Adult_Midgut
LOC108909929,agla,agla|LOC108909929,1.2367599999999999,3.8465,0.8480891719745223,1.1673399999999998,5,Adult_FatBody
LOC108909932,agla,agla|LOC108909932,0.5082800000000001,2.2182,0.9635740690650078,1.36544,5,Adult_Midgut
LOC108909935,agla,agla|LOC108909935,2.2084,4.6476,0.6560375247439538,1.66722,5,Adult_MalpighianTubule
LOC108909938,agla,agla|LOC108909938,0.37408,1.0216,0.7922866092404073,0.84518,5,Adult_Brain
LOC108909954,agla,agla|LOC108909954,1.5718600000000003,2.1664,0.3430460672082717,0.46900000000000003,5,Adult_Brain
LOC108909959,agla,agla|LOC108909959,4.87018,6.7921,0.3537050396784499,3.64524,5,Adult_FatBody
LOC108909965,agla,agla|LOC108909965,3.10264,3.5216,0.1487108132666969,1.0268000000000002,5,Adult_Brain
LOC108909967,agla,agla|LOC108909967,1.8989,2.3654,0.24652278684366288,2.1989599999999996,5,Adult_Midgut
LOC108909969,agla,agla|LOC108909969,1.2323,2.9177,0.722058470713233,1.21898,5,Adult_Hindgut
LOC108909971,agla,agla|LOC108909971,5.49856,6.0089,0.10616335768609891,4.6928399999999995,5,Adult_MalpighianTubule
LOC108909972,agla,agla|LOC108909972,3.4304200000000002,5.239,0.43151841954571485,1.12542,5,Adult_FatBody
LOC108909975,agla,agla|LOC108909975,1.78228,2.0032,0.1378544329073483,0.4309200000000001,5,Adult_MalpighianTubule
LOC108909984,agla,agla|LOC108909984,2.92476,5.8852,0.6287891660436349,1.53716,5,Adult_FatBody
LOC108909985,agla,agla|LOC108909985,2.7366,5.2685,0.6007165227294297,1.28784,5,Adult_MalpighianTubule
LOC108909986,agla,agla|LOC108909986,2.50204,3.0312,0.21821390868302987,1.1507,5,Adult_MalpighianTubule
LOC108910003,agla,agla|LOC108910003,4.15904,5.6326,0.32701594290381,1.2196799999999999,5,Adult_MalpighianTubule
LOC108910007,agla,agla|LOC108910007,4.00298,5.3698,0.3181729300905061,0.6378999999999999,5,Adult_Hindgut
LOC108910012,agla,agla|LOC108910012,4.16976,4.6688,0.13361034955448942,0.8355799999999999,5,Adult_Brain
LOC108910017,agla,agla|LOC108910017,0.8938,3.1657,0.8970764759768771,1.6984000000000001,5,Adult_Midgut
LOC108910021,agla,agla|LOC108910021,2.2007000000000003,2.7491,0.24935433414572042,0.4631999999999999,5,Adult_Brain
LOC108910023,agla,agla|LOC108910023,0.30526,0.4296,0.3617900372439478,0.21636000000000002,5,Adult_MalpighianTubule
LOC108910025,agla,agla|LOC108910025,1.46406,2.496,0.516796875,0.57412,5,Adult_Brain
LOC108910027,agla,agla|LOC108910027,0.053959999999999994,0.2671,0.997472856608012,0.39476,5,Adult_Midgut
LOC108910032,agla,agla|LOC108910032,0.66524,0.9396,0.36499574286930614,0.8062799999999999,5,Adult_Midgut
LOC108910039,agla,agla|LOC108910039,0.26094000000000006,0.8819,0.8801451411724684,1.4295,5,Adult_Midgut
LOC108910048,agla,agla|LOC108910048,4.3486199999999995,9.3871,0.6709313845596617,2.03282,5,Adult_Midgut
LOC108910049,agla,agla|LOC108910049,1.2372200000000002,4.3941,0.8980451059375072,1.62092,5,Adult_Midgut
LOC108910055,agla,agla|LOC108910055,4.04738,8.6102,0.662414926482544,2.9643800000000002,5,Adult_Midgut
LOC108910056,agla,agla|LOC108910056,4.722499999999999,9.7514,0.6446382057960909,2.8879,5,Adult_Midgut
LOC108910061,agla,agla|LOC108910061,2.9462800000000002,4.1507,0.3627159274339268,1.4909200000000002,5,Adult_Brain
LOC108910068,agla,agla|LOC108910068,3.4321999999999995,4.8969,0.3738844983561028,1.0280999999999998,5,Adult_MalpighianTubule
LOC108910071,agla,agla|LOC108910071,1.5476800000000002,3.6651,0.7221562849581183,0.5882999999999999,5,Adult_Brain
LOC108910072,agla,agla|LOC108910072,1.9179399999999998,2.5162,0.2972041173197679,0.17494000000000004,5,Adult_Brain
LOC108910073,agla,agla|LOC108910073,3.93754,4.9533,0.25633416106434087,0.78284,5,Adult_Midgut
LOC108910074,agla,agla|LOC108910074,4.13966,4.4805,0.09508983372391475,0.8309599999999999,5,Adult_Brain
LOC108910080,agla,agla|LOC108910080,0.057019999999999994,0.1112,0.6090377697841727,1.20464,5,Adult_Midgut
LOC108910088,agla,agla|LOC108910088,0.9773200000000001,2.652,0.7893476621417799,0.62964,5,Adult_Hindgut
LOC108910094,agla,agla|LOC108910094,3.2039,3.4009,0.0724073039489547,0.8450799999999999,5,Adult_MalpighianTubule
LOC108910096,agla,agla|LOC108910096,2.1097799999999998,2.5163,0.2019433294917141,0.07725999999999997,5,Adult_Brain
LOC108910097,agla,agla|LOC108910097,1.9028000000000003,3.3644,0.5430388776602069,0.5559799999999999,5,Adult_Brain
LOC108910099,agla,agla|LOC108910099,0.29752,1.4398,0.9917002361439089,0.9898399999999998,5,Adult_Midgut
LOC108910108,agla,agla|LOC108910108,2.5319000000000003,2.992,0.19222092245989306,0.62716,5,Adult_MalpighianTubule
LOC108910110,agla,agla|LOC108910110,2.33404,2.8396,0.22254895055641638,0.73374,5,Adult_Brain
LOC108910112,agla,agla|LOC108910112,1.43752,2.8221,0.6132755749264731,0.90744,5,Adult_FatBody
LOC108910142,agla,agla|LOC108910142,1.4838799999999999,3.1134,0.6542365259844543,0.998,5,Adult_Midgut
LOC108910154,agla,agla|LOC108910154,3.37258,3.8189,0.14608918798606932,0.40077999999999986,5,Adult_MalpighianTubule
LOC108910156,agla,agla|LOC108910156,5.9076,7.0153,0.19737217225207757,3.58778,5,Adult_Hindgut
LOC108910157,agla,agla|LOC108910157,0.65562,1.0831,0.4933524143661711,1.4274799999999999,5,Adult_Brain
LOC108910169,agla,agla|LOC108910169,3.1727,5.111,0.47405106632752886,1.64392,5,Adult_Hindgut
LOC108910172,agla,agla|LOC108910172,3.4293799999999997,3.9741,0.17133439017639213,0.6117800000000001,5,Adult_Brain
LOC108910174,agla,agla|LOC108910174,4.35204,5.8597,0.3216162943495401,1.1765200000000002,5,Adult_MalpighianTubule
LOC108910176,agla,agla|LOC108910176,1.6091000000000002,2.0228,0.25564811152857425,0.3597,5,Adult_MalpighianTubule
LOC108910185,agla,agla|LOC108910185,4.27752,7.2766,0.5151925349751258,2.28106,5,Adult_Hindgut
LOC108910196,agla,agla|LOC108910196,0.96042,2.0857,0.6744018794649278,1.56818,5,Adult_Hindgut
LOC108910197,agla,agla|LOC108910197,3.2196400000000005,3.7419,0.1744635078436088,0.40142000000000005,5,Adult_MalpighianTubule
LOC108910199,agla,agla|LOC108910199,2.35088,2.9546,0.2554152846408989,0.9371200000000002,5,Adult_Hindgut
LOC108910203,agla,agla|LOC108910203,2.76168,3.1034,0.13763936327898438,0.1931,5,Adult_MalpighianTubule
LOC108910207,agla,agla|LOC108910207,1.4288599999999998,1.8352,0.2767681996512642,0.57128,5,Adult_Brain
LOC108910221,agla,agla|LOC108910221,1.40896,5.4871,0.9290289952798381,1.32628,5,Adult_Brain
LOC108910222,agla,agla|LOC108910222,5.340599999999999,7.0941,0.30897153973019836,1.6832799999999999,5,Adult_Hindgut
LOC108910235,agla,agla|LOC108910235,3.38498,4.138,0.22747100048332528,1.6037,5,Adult_MalpighianTubule
LOC108910237,agla,agla|LOC108910237,3.58996,3.9121,0.10293065105697707,0.5492000000000001,5,Adult_Midgut
LOC108910243,agla,agla|LOC108910243,3.5926,6.4787,0.5568439656103847,2.3286000000000002,5,Adult_Hindgut
LOC108910248,agla,agla|LOC108910248,2.2163600000000003,4.8421,0.677841225914376,1.40062,5,Adult_Brain
LOC108910249,agla,agla|LOC108910249,1.1176,4.9997,0.9705832349940996,2.0716600000000005,5,Adult_Midgut
LOC108910254,agla,agla|LOC108910254,2.2095399999999996,2.8775,0.29016507384882706,0.38668,5,Adult_Hindgut
LOC108910261,agla,agla|LOC108910261,7.18056,7.366,0.03146891121368445,0.22224000000000005,5,Adult_Brain
LOC108910265,agla,agla|LOC108910265,2.45936,3.9412,0.4699837612909773,1.10838,5,Adult_Hindgut
LOC108910267,agla,agla|LOC108910267,1.6346,2.7988,0.5199549807060169,0.8344799999999999,5,Adult_Hindgut
LOC108910273,agla,agla|LOC108910273,1.8367200000000004,4.4324,0.7320187708690552,1.36404,5,Adult_FatBody
LOC108910280,agla,agla|LOC108910280,1.0907600000000002,4.7933,0.9655508730936933,1.32436,5,Adult_Hindgut
LOC108910283,agla,agla|LOC108910283,0.4295,1.9341,0.9724161108525929,0.51002,5,Adult_Brain
LOC108910294,agla,agla|LOC108910294,0.27238,1.0347,0.9209432685802648,1.7239999999999998,5,Adult_Midgut
LOC108910306,agla,agla|LOC108910306,3.74636,4.205,0.13633769322235434,0.5654200000000001,5,Adult_MalpighianTubule
LOC108910309,agla,agla|LOC108910309,1.1594600000000002,2.4764,0.6647451946373768,0.50908,5,Adult_Hindgut
